generated filler to match excel structure|common._each_session|*Jede Sitzung schliesst mit einer Challenge ab, betrachtet Sie als eine Art Hausaufgabe oder als ein neues Werkzeug, dass ihr in Zukunft benutzen könnt.|*Each session concludes with a challenge, think of it as a homework assignment or a new tool you can use in the future.|*Cada sessão termina com um desafio, pense nele como uma tarefa de casa ou uma nova ferramenta que você poderá usar no futuro.
generated filler to match excel structure|sessions.questions_in_sessions_are_on|Der Fokus der Fragen in dieser Sitzung liegt auf|The focus of the questions in this sessions are on|O foco das questões nesta sessão está em
generated filler to match excel structure|sessions.a_handpicked_challenge_is_part_1|Eine Auswahl an ausgewählten Core - Challenges der Kategorie Übung|A set of handpicked Core - Challenges of the category Exercise|Um conjunto de Desafios Core cuidadosamente selecionados da categoria Exercício
generated filler to match excel structure|sessions.a_handpicked_challenge_is_part_2|rundet das Bild ab.|is rounding up the picture.|está completando o quadro.
generated filler to match excel structure|sessions.picked_special_challenge_part_1|Die besonderen Herausforderungen in dieser Session:|The Special Challenges in this session:|Os desafios especiais nesta sessão:
generated filler to match excel structure|therapists.programs_offered_by|Programme angeboten von |Programs offered by |Programas oferecidos por 
generated filler to match excel structure|therapists.contacts|Kontakte|Contacts|Contatos
generated filler to match excel structure|therapist.contact_linkedin|LinkedIn|LinkedIn|LinkedIn
generated filler to match excel structure|therapist.contact_phone|Telefon|Phone|Telefone
generated filler to match excel structure|therapist.contact_website|Webseite|Website|Site
generated filler to match excel structure|therapist.contact_email|Email|Email|Email
generated filler to match excel structure|therapist.contact_instagram|Instagram|Instagram|Instagram
generated filler to match excel structure|therapist.contact_youtube|Youtube|Youtube|Youtube
generated filler to match excel structure|languages.en|Englisch|English|Inglês
generated filler to match excel structure|languages.de|Deutsch|German|Alemão
generated filler to match excel structure|languages.pt|Portugiesisch|Portuguese|Português
generated filler to match excel structure|languages.es|Spanisch|Spanish|Espanhol
generated filler to match excel structure|languages.fr|Französisch|French|Francês
generated filler to match excel structure|languages.sv|Schwedisch|Swedish|Sueco
generated filler to match excel structure|languages.gr|Griechisch|Greek|Grego
